,학수번호,subject,학점,교수명,담은인원,수강대상,선택영역
1,004626-001,미래사회와사회변동,3,김대종,71,,사회와문화
2,004627-001,채플2,0.5,이요섭,105,,사상과역사
3,004627-002,채플2,0.5,이요섭,109,,사상과역사
4,004630-001,정보사회와정보이용,3,신은자,89,,사회와문화
5,004630-002,정보사회와정보이용,3,신은자,65,,사회와문화
6,004763-001,과학사,3,정연철,197,본교 e-러닝강의,자연과과학기술
7,004763-002,과학사,3,정연철,124,본교 e-러닝강의,자연과과학기술
8,004763-004,과학사,3,정연철,1,영어,자연과과학기술
9,004794-001,채플4,0.5,이요섭,92,,사상과역사
10,004794-002,채플4,0.5,이요섭,100,,사상과역사
11,004798-001,세계경제의이해,3,배길원,74,,사회와문화
12,006270-001,동양의철학사상,3,박승원,5,,사상과역사
13,006279-001,정보사회의사이버윤리,3,김희정,204,본교 e-러닝강의,사상과역사
14,006279-002,정보사회의사이버윤리,3,김희정,151,본교 e-러닝강의,사상과역사
15,006714-001,현대과학으로의여행,3,심재경,145,,자연과과학기술
16,006846-001,지구환경과학입문,3,노진형,53,,사회와문화
17,007082-001,취업과진로,2,황용식,199,,사회와문화
18,007221-001,진로설정과자기계발,2,황용식,217,,사상과역사
19,007731-001,철학과인간이해,3,이기백,58,,세계와지구촌
20,007744-001,인도의정치경제와사회,3,이지은,84,,사회와문화
21,007779-001,현대인의정신건강과자기발견,2,전보영,115,,세계와지구촌
22,008263-001,21세기외교전쟁,3,강병철,46,,사회와문화
23,008364-001,세종사회봉사1,1,권경중,639,,사회와문화
24,008365-001,세종사회봉사2,1,권경중,90,,사상과역사
25,008381-001,세종리더십,2,이주은,70,,사상과역사
26,008882-001,동서양의윤리,3,이기백,76,,자연과과학기술
27,008890-001,천문학의세계,3,김성은,71,,자연과과학기술
28,008890-002,천문학의세계,3,오세헌,84,,자연과과학기술
29,008890-003,천문학의세계,3,Graziano Rossi,0,영어,사상과역사
30,008932-001,동양고전강독2,1,임홍태,234,본교 e-러닝강의,사상과역사
31,008932-002,동양고전강독2,1,임홍태,139,본교 e-러닝강의,사상과역사
32,008932-003,동양고전강독2,1,임홍태,119,본교 e-러닝강의,사상과역사
33,008933-001,서양고전강독2,1,이태하,198,본교 e-러닝강의,사상과역사
34,008933-002,서양고전강독2,1,이태하,127,본교 e-러닝강의,사상과역사
35,008933-003,서양고전강독2,1,이태하,18,본교 e-러닝강의,사상과역사
36,008934-001,인류학과현대사회,3,우은진,67,,사회와문화
37,008937-001,현대과학기술의이해,3,정경숙,60,,자연과과학기술
38,009058-001,서양고전강독4,1,정연철,209,본교 e-러닝강의,사상과역사
39,009058-002,서양고전강독4,1,정연철,152,본교 e-러닝강의,사상과역사
40,009058-003,서양고전강독4,1,정연철,127,본교 e-러닝강의,사상과역사
41,009252-001,영상스토리텔링,3,구중회,74,,융합과창업
42,009261-001,K-Pop Music 2,3,김성경,10,,세계와지구촌
43,009261-002,K-Pop Music 2,3,김성경,3,,세계와지구촌
